                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.156,                   3.74,                 2.3986,                0.00889,                0.26337,                 0.0111,                 0.0027,                 3.0114,                 3.5652,                 2.2513,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.9358,                 3.6413,                 2.3434,                0.01014,                0.30041,                0.01598,                0.00383,                 2.9725,                 3.5598,                 2.1649,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 2.8892,                 3.6222,                 2.1574,                0.01194,                0.35391,                0.02472,                0.00553,                 2.8968,                 3.5023,                 2.0349,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 2.8806,                 3.4829,                 2.0348,                0.01389,                0.41152,                0.04194,                 0.0083,                 2.7902,                  3.435,                 1.8969,             0.00013168,             0.00013168,             0.00013168
                      5,                 2.7654,                 3.2959,                 1.8798,                0.01542,                0.45679,                0.06006,                0.01448,                 2.6008,                 3.4379,                 1.8287,             0.00016574,             0.00016574,             0.00016574
                      6,                  2.605,                 3.0346,                 1.6543,                0.01681,                0.49794,                0.05839,                0.01836,                  2.478,                 3.4605,                 1.8328,             0.00019822,             0.00019822,             0.00019822
                      7,                 2.7195,                 3.0221,                  1.787,                0.01861,                0.55144,                0.05238,                0.01513,                 2.4315,                 3.4209,                 1.8078,             0.00022911,             0.00022911,             0.00022911
                      8,                 2.5052,                  2.638,                 1.5895,                0.01889,                0.55967,                 0.0737,                0.02103,                 2.3467,                 3.3809,                 1.7418,             0.00025842,             0.00025842,             0.00025842
                      9,                 2.3938,                 2.4007,                 1.4795,                0.01875,                0.55556,                0.06579,                0.01953,                 2.3291,                 3.3763,                 1.7432,             0.00028614,             0.00028614,             0.00028614
                     10,                  2.426,                 2.3909,                 1.5307,                0.01722,                0.51029,                0.05311,                0.01562,                  2.351,                 3.3798,                 1.7716,             0.00031228,             0.00031228,             0.00031228
                     11,                  2.352,                 2.3023,                 1.5168,                0.01514,                0.44856,                0.03884,                0.01297,                 2.3573,                  3.367,                 1.7906,             0.00033684,             0.00033684,             0.00033684
                     12,                 2.3039,                 2.3624,                 1.5591,                0.01472,                0.43621,                0.04494,                 0.0134,                 2.3407,                 3.3339,                 1.7897,             0.00035981,             0.00035981,             0.00035981
                     13,                 2.3324,                   2.17,                 1.5359,                0.01625,                0.48148,                0.04729,                0.01532,                 2.2851,                 3.2534,                 1.7418,              0.0003812,              0.0003812,              0.0003812
                     14,                 2.2421,                 2.2158,                 1.5197,                0.01639,                 0.4856,                 0.0538,                0.01863,                 2.2932,                 3.2073,                 1.7493,               0.000401,               0.000401,               0.000401
                     15,                 2.2128,                  1.964,                 1.4862,                0.01694,                0.50206,                0.05561,                0.01959,                 2.2803,                 3.1969,                  1.756,             0.00041922,             0.00041922,             0.00041922
