epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.676,2.96175,4.00672,2.49369,0.01083,0.32099,0.00717,0.00178,3.00784,3.75671,2.42499,2e-05,2e-05,2e-05
2,32.33,2.92229,3.87991,2.46969,0.01139,0.33745,0.00784,0.00205,2.95449,3.71818,2.39152,5.8812e-05,5.8812e-05,5.8812e-05
3,41.679,2.85373,3.93846,2.336,0.01361,0.40329,0.01043,0.0028,2.88352,3.63908,2.34027,9.604e-05,9.604e-05,9.604e-05
4,50.827,2.80696,3.71336,2.52112,0.01514,0.44856,0.01435,0.00391,2.79813,3.52819,2.26313,0.000131684,0.000131684,0.000131684
5,59.743,2.71299,3.64204,2.14156,0.01722,0.51029,0.02397,0.0062,2.68087,3.36863,2.15103,0.000165744,0.000165744,0.000165744
6,68.7756,2.79813,3.38228,2.17458,0.02031,0.58848,0.0483,0.01302,2.5745,3.17608,2.04879,0.00019822,0.00019822,0.00019822
7,77.9566,2.59167,3.12749,2.00625,0.18353,0.13992,0.07813,0.02262,2.48934,2.97017,1.94593,0.000229112,0.000229112,0.000229112
8,87.1266,2.43338,2.8157,1.89688,0.14061,0.19342,0.09573,0.03166,2.43552,2.78216,1.87795,0.00025842,0.00025842,0.00025842
9,96.3036,2.48528,2.81527,1.8428,0.16178,0.23457,0.11037,0.03601,2.41615,2.71034,1.85639,0.000286144,0.000286144,0.000286144
10,106.093,2.47216,2.61254,1.91855,0.17814,0.28395,0.12887,0.04357,2.38205,2.64065,1.82502,0.000312284,0.000312284,0.000312284
11,115.811,2.42569,2.7392,1.82419,0.21697,0.27572,0.15658,0.05414,2.33859,2.56718,1.80997,0.00033684,0.00033684,0.00033684
12,125.933,2.33068,2.42983,1.62538,0.29,0.26337,0.19401,0.06974,2.28757,2.4818,1.80202,0.000359812,0.000359812,0.000359812
13,136.593,2.37249,2.44733,1.89962,0.32437,0.30864,0.24761,0.093,2.23138,2.39246,1.79371,0.0003812,0.0003812,0.0003812
14,146.902,2.32723,2.41461,1.73515,0.40253,0.34568,0.30244,0.12008,2.18512,2.31917,1.78587,0.000401004,0.000401004,0.000401004
15,157.534,2.4103,2.32973,1.69598,0.42051,0.32922,0.31118,0.1253,2.16286,2.2682,1.78635,0.000419224,0.000419224,0.000419224
16,167.594,2.087,2.15558,1.67151,0.39733,0.37037,0.2947,0.11903,2.12867,2.22964,1.78125,0.00043586,0.00043586,0.00043586
17,177.575,2.19591,2.12082,1.69684,0.43093,0.34156,0.30281,0.11744,2.13602,2.20022,1.80939,0.000450912,0.000450912,0.000450912
18,187.379,2.11284,1.96924,1.75745,0.39393,0.38272,0.30996,0.12206,2.14782,2.18903,1.85022,0.00046438,0.00046438,0.00046438
19,197.163,2.19392,2.12257,1.74823,0.40931,0.35802,0.29627,0.12476,2.16443,2.20928,1.89849,0.000476264,0.000476264,0.000476264
20,207.117,2.11113,1.95265,1.73025,0.39275,0.34568,0.29598,0.12896,2.15522,2.18693,1.9098,0.000486564,0.000486564,0.000486564
