epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.725,2.90134,3.24357,2.54568,0.09989,0.05911,0.02613,0.00804,2.61425,6.41971,2.39514,0.00064,0.00064,0.00064
2,994.688,2.64867,2.73706,2.30719,0.04184,0.21736,0.025,0.00882,2.5142,6.99905,2.50368,0.0012571,0.0012571,0.0012571
3,1496.9,2.51632,2.55239,2.29198,0.02845,0.23457,0.01621,0.00565,2.32798,8.55898,2.39881,0.00183064,0.00183064,0.00183064
4,1991.62,2.41273,2.53917,2.25652,0.23969,0.18032,0.10471,0.04073,2.27843,2.74676,2.3362,0.001802,0.001802,0.001802
5,2483.27,2.3778,2.40487,2.17994,0.23638,0.1893,0.10402,0.03905,2.27589,2.86198,2.41844,0.001736,0.001736,0.001736
6,2948.89,2.32008,2.32993,2.12339,0.30364,0.23494,0.16719,0.07541,2.0904,2.3564,2.14969,0.00167,0.00167,0.00167
7,3426.87,2.27666,2.3545,2.10236,0.32996,0.23913,0.18046,0.08242,2.00369,2.39174,2.06114,0.001604,0.001604,0.001604
8,3891.71,2.19198,2.23135,2.07883,0.3533,0.27142,0.19947,0.08914,2.03066,2.26198,2.11741,0.001538,0.001538,0.001538
9,4346.97,2.17297,2.20377,2.0688,0.39936,0.30004,0.23196,0.10699,1.94474,2.14674,2.03486,0.001472,0.001472,0.001472
10,4806.32,2.14824,2.18299,2.04431,0.36663,0.32211,0.23566,0.09988,2.03294,2.17204,2.12497,0.001406,0.001406,0.001406
11,5270.53,2.07573,2.14068,1.99831,0.41232,0.31912,0.24378,0.11851,1.83212,2.09176,1.95826,0.00134,0.00134,0.00134
12,5721.83,2.04852,2.07486,2.01504,0.43691,0.31276,0.25969,0.13002,1.76034,2.04126,1.93728,0.001274,0.001274,0.001274
13,6179.4,1.97994,2.03678,1.96819,0.43905,0.31653,0.26108,0.1297,1.73632,2.0007,1.91239,0.001208,0.001208,0.001208
14,6639.81,1.96205,2.04162,1.93058,0.45153,0.35129,0.28917,0.15372,1.69164,1.96211,1.85278,0.001142,0.001142,0.001142
15,7098,1.87742,1.97128,1.84798,0.44326,0.38662,0.30429,0.1569,1.63087,1.86543,1.80243,0.001076,0.001076,0.001076
16,7544.89,1.86103,1.91766,1.83936,0.46162,0.37636,0.31093,0.16437,1.62005,1.83243,1.83643,0.00101,0.00101,0.00101
17,7993.53,1.8056,1.8226,1.7892,0.48007,0.39169,0.33326,0.1863,1.54684,1.74936,1.75918,0.000944,0.000944,0.000944
18,8436.53,1.84495,1.90181,1.82619,0.47637,0.39957,0.34099,0.18773,1.56169,1.74073,1.75835,0.000878,0.000878,0.000878
19,8874.1,1.78947,1.80856,1.78284,0.48622,0.40962,0.35129,0.19798,1.49602,1.70116,1.76495,0.000812,0.000812,0.000812
20,9317.21,1.7269,1.77451,1.7846,0.47544,0.43023,0.34653,0.19334,1.4898,1.67455,1.72201,0.000746,0.000746,0.000746
21,9772.13,1.69357,1.85986,1.90393,0.49023,0.43023,0.35477,0.20106,1.49026,1.64999,1.72216,0.00068,0.00068,0.00068
22,10220.3,1.59153,1.69669,1.73707,0.48246,0.42499,0.35478,0.20542,1.43918,1.64651,1.713,0.000614,0.000614,0.000614
23,10684.4,1.57709,1.72611,1.78877,0.50313,0.42353,0.36446,0.21287,1.40732,1.61635,1.68523,0.000548,0.000548,0.000548
24,11116,1.55114,1.75248,1.79065,0.50378,0.43883,0.38148,0.22994,1.37913,1.57921,1.64375,0.000482,0.000482,0.000482
25,11551.7,1.53373,1.66032,1.71079,0.52303,0.43322,0.38208,0.22708,1.3723,1.55302,1.6508,0.000416,0.000416,0.000416
26,11984.9,1.48852,1.6281,1.6979,0.51643,0.45492,0.40245,0.24762,1.3369,1.51139,1.61664,0.00035,0.00035,0.00035
27,12415.2,1.49578,1.58828,1.68921,0.52063,0.45791,0.40354,0.24572,1.33018,1.49203,1.61834,0.000284,0.000284,0.000284
28,12847,1.46612,1.63513,1.71924,0.51948,0.4647,0.41494,0.25617,1.3,1.47726,1.59398,0.000218,0.000218,0.000218
29,13281.3,1.42504,1.56195,1.65416,0.52108,0.46539,0.41985,0.2635,1.28197,1.46355,1.57368,0.000152,0.000152,0.000152
30,13721.7,1.43544,1.55002,1.64983,0.52586,0.46128,0.41979,0.26516,1.27301,1.45906,1.57116,8.6e-05,8.6e-05,8.6e-05
